категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 200 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 200",200,1299,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;200","Фланец стальной плоский Ду сталь Py10",200,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 250 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 250",250,1999,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;250","Фланец стальной плоский Ду сталь Py10",250,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 300 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 300",300,3178,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;300","Фланец стальной плоский Ду сталь Py10",300,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 350 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 350",350,4740,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;350","Фланец стальной плоский Ду сталь Py10",350,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 400 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 400",400,4150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;400","Фланец стальной плоский Ду сталь Py10",400,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 500 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 500",500,6500,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;500","Фланец стальной плоский Ду сталь Py10",500,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py16","Фланцы стальные 15 Фланец стальной плоский Ду сталь Py16","Фланцы стальные марки Фланец стальной плоский Ду сталь Py16, размер 15",15,116,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py16;15","Фланец стальной плоский Ду сталь Py16",15,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py16","Фланцы стальные 20 Фланец стальной плоский Ду сталь Py16","Фланцы стальные марки Фланец стальной плоский Ду сталь Py16, размер 20",20,160,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py16;20","Фланец стальной плоский Ду сталь Py16",20,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py16","Фланцы стальные 25 Фланец стальной плоский Ду сталь Py16","Фланцы стальные марки Фланец стальной плоский Ду сталь Py16, размер 25",25,201,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py16;25","Фланец стальной плоский Ду сталь Py16",25,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py16","Фланцы стальные 32 Фланец стальной плоский Ду сталь Py16","Фланцы стальные марки Фланец стальной плоский Ду сталь Py16, размер 32",32,271,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py16;32","Фланец стальной плоский Ду сталь Py16",32,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py16","Фланцы стальные 40 Фланец стальной плоский Ду сталь Py16","Фланцы стальные марки Фланец стальной плоский Ду сталь Py16, размер 40",40,316,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py16;40","Фланец стальной плоский Ду сталь Py16",40,,шт
