категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 40 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 40",40,2585,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;40,Кран шаровой стальной фланцевый 283 Ру40,40,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 50 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 50",50,2850,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;50,Кран шаровой стальной фланцевый 283 Ру40,50,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 284 Ру25,Краны шаровые стальные 65 Кран шаровой стальной фланцевый 284 Ру25,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 284 Ру25, размер 65",65,4035,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 284 ру25;65,Кран шаровой стальной фланцевый 284 Ру25,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 284 Ру25,Краны шаровые стальные 80 Кран шаровой стальной фланцевый 284 Ру25,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 284 Ру25, размер 80",80,5150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 284 ру25;80,Кран шаровой стальной фланцевый 284 Ру25,80,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 284 Ру25,Краны шаровые стальные 150 Кран шаровой стальной фланцевый 284 Ру25,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 284 Ру25, размер 150",150,20600,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 284 ру25;150,Кран шаровой стальной фланцевый 284 Ру25,150,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 284 Ру25,Краны шаровые стальные 200 Кран шаровой стальной фланцевый 284 Ру25,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 284 Ру25, размер 200",200,31900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 284 ру25;200,Кран шаровой стальной фланцевый 284 Ру25,200,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стал�ной фланцевый 286 Ру16,Краны шаровые стальные 65 Кран шаровой стал�ной фланцевый 286 Ру16,"Краны шаровые стальные марки Кран шаровой стал�ной фланцевый 286 Ру16, размер 65",65,3000,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стал?ной фланцевый 286 ру16;65,Кран шаровой стал�ной фланцевый 286 Ру16,шт,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 286 Ру16,Краны шаровые стальные 80 Кран шаровой стальной фланцевый 286 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 286 Ру16, размер 80",80,5504,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 286 ру16;80,Кран шаровой стальной фланцевый 286 Ру16,80,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 286 Ру40,Краны шаровые стальные 15 Кран шаровой стальной фланцевый 286 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 286 Ру40, размер 15",15,1250,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 286 ру40;15,Кран шаровой стальной фланцевый 286 Ру40,15,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 286 Ру40,Краны шаровые стальные 32 Кран шаровой стальной фланцевый 286 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 286 Ру40, размер 32",32,2050,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 286 ру40;32,Кран шаровой стальной фланцевый 286 Ру40,32,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 286 Ру40,Краны шаровые стальные 40 Кран шаровой стальной фланцевый 286 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 286 Ру40, размер 40",40,2350,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 286 ру40;40,Кран шаровой стальной фланцевый 286 Ру40,40,,шт
