категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Анкерная техника,Анкер клиновой 20,Анкерная техника 160 Анкер клиновой 20,"Анкерная техника марки Анкер клиновой 20, размер 160",160,426120,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 20;160,Анкер клиновой 20,160,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 20,Анкерная техника 200 Анкер клиновой 20,"Анкерная техника марки Анкер клиновой 20, размер 200",200,512695,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 20;200,Анкер клиновой 20,200,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 20,Анкерная техника 300 Анкер клиновой 20,"Анкерная техника марки Анкер клиновой 20, размер 300",300,791741,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 20;300,Анкер клиновой 20,300,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 120 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 120",120,433857,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;120,Анкер клиновой 6,120,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 40 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 40",40,250999,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;40,Анкер клиновой 6,40,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 60 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 60",60,321207,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;60,Анкер клиновой 6,60,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 65 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 65",65,290974,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;65,Анкер клиновой 6,65,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 65 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 65",65,389483,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;65,Анкер клиновой 6,65,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 65 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 65",65,581975,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;65,Анкер клиновой 6,65,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 70 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 70",70,295433,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;70,Анкер клиновой 6,70,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 80 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 80",80,332211,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;80,Анкер клиновой 6,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 6,Анкерная техника 95 Анкер клиновой 6,"Анкерная техника марки Анкер клиновой 6, размер 95",95,389483,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 6;95,Анкер клиновой 6,95,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 100 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 100",100,432784,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;100,Анкер клиновой 8,100,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 105 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 105",105,443051,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;105,Анкер клиновой 8,105,,тыс.шт
